generation_id,prompt_condition,transport_success,valid_rows,invalid_rows,exact_100_valid_rows,fit_valid,fit_reason,adjusted_r2,cv_r2,condition_number,beta_residential_density,beta_functional_mix,beta_short_blocks,beta_aged_buildings,beta_tall_buildings,unique_ratio_residential_density,unique_ratio_functional_mix,unique_ratio_mean_block_area_m2,unique_ratio_aged_buildings,unique_ratio_tall_buildings,unique_ratio_pedestrian_activity
vitality_blueprint_037,Blueprint prompt,1,100,0,1,1,,0.964125297611376,0.9618945582639098,17.60769761258054,0.5486310460393699,0.0202016118986614,0.1910221469300404,0.5298407248848626,-0.3261184169778062,0.63,0.23,0.63,0.35,0.32,0.39
vitality_baseline_038,Baseline prompt,1,100,0,1,1,,0.9769109669235252,0.9719392114597188,18.028960113103537,0.8186736149227357,0.0920919928666406,0.0764193315183145,0.0111165158599135,-0.0047188129472994,0.37,0.12,0.48,0.08,0.12,0.55
vitality_blueprint_038,Blueprint prompt,1,100,0,1,1,,0.9796334255812156,0.9738599341174884,17.359732822011214,0.4229944798041927,0.0623814801045792,0.4117787496769472,-0.1438397413813282,-0.0407169495017151,0.34,0.22,0.42,0.15,0.08,0.34
vitality_baseline_039,Baseline prompt,1,100,0,1,1,,0.9882629414539716,0.9870512430383062,21.84727721308064,0.4773558233424972,0.1781104706883379,0.0324530408650888,0.2105860573788955,0.1100000844576271,0.36,0.35,0.54,0.32,0.22,0.36
vitality_blueprint_039,Blueprint prompt,1,100,0,1,1,,0.9821168019475356,0.9776161217405596,15.603546382160117,1.0107146541738243,0.1349141781757134,-0.1045397945483184,-0.1791773279222682,-0.2664484937617044,0.39,0.25,0.38,0.15,0.1,0.39
vitality_baseline_040,Baseline prompt,1,100,0,1,1,,0.9744720662086016,0.9720737896174184,22.336013642354523,0.9179313372547124,0.344221703917542,-0.7288068997701909,-0.063193849330716,0.395135749992455,0.23,0.69,0.78,0.58,0.42,0.49
vitality_blueprint_040,Blueprint prompt,1,100,0,1,1,,0.98633089567755,0.9835316487523714,15.443760685382312,0.5078182483144642,0.0717374930222205,0.4686090840698194,-0.1821779739058614,-0.2224655592293911,0.34,0.25,0.4,0.64,0.38,0.55
vitality_baseline_041,Baseline prompt,1,100,0,1,1,,0.989181108746797,0.9872637609089644,20.713515990442968,0.2564385006104827,0.1267817429718177,0.171180271560417,0.1589298132015492,0.303696614118746,0.23,0.41,0.25,0.14,0.28,0.91
vitality_blueprint_041,Blueprint prompt,1,100,0,1,1,,0.9753220368904696,0.968894128860504,21.900660966617878,1.0245528291394597,0.0146092428832529,-0.1131442549615592,0.0493648515780645,0.0097125046319601,0.45,0.26,0.48,0.31,0.22,0.7
vitality_baseline_042,Baseline prompt,1,100,0,1,1,,0.9751438234355868,0.9732708454083706,14.25830144654941,0.3795880854490359,0.3809097467577771,0.180734569086199,-0.2332653038112985,-0.1834009392323707,0.38,0.38,0.46,0.17,0.19,0.43
